Year,Location,Experiment,Genotype,Species,PlantID_ReplicateNumber,Plot,Replicate,Test_Type,Tester_Name,Planting_Date,Testing_Date,Torsional_Stiffness_Nm/rad,raw_data_file,Additional_Notes,DAP
2021,Newark,55&Friends,CML341,Maize,529_4,529,4,A,JR,5/20/21,9/27/21,120.199,529-4_09_27_2021_11_30_47.xls,NA,130
2021,Newark,55&Friends,CML341,Maize,529_5,529,5,A,JR,5/20/21,9/27/21,53.65,529-5_09_27_2021_11_25_29.xls,SLIPPED,130
2021,Newark,55&Friends,CML341,Maize,529_6,529,6,A,JR,5/20/21,9/27/21,148.839,529-6_09_27_2021_11_27_13.xls,NA,130
2021,Newark,55&Friends,CML341,Maize,532_4,532,4,A,JR,5/20/21,9/27/21,186.466,532-4_09_27_2021_11_32_05.xls,NA,130
2021,Newark,55&Friends,CML341,Maize,532_6,532,6,A,JR,5/20/21,9/27/21,146.745,532-6_09_27_2021_11_33_04.xls,NA,130
2021,Newark,55&Friends,CML247,Maize,533_2,533,2,A,JR,5/20/21,9/27/21,100.365,533-2_09_27_2021_11_36_47.xls,NA,130
2021,Newark,55&Friends,CML247,Maize,533_3,533,3,A,JR,5/20/21,9/27/21,88.358,533-3_09_27_2021_11_37_51.xls,NA,130
2021,Newark,55&Friends,B97,Maize,534_6,534,6,A,JR,5/20/21,9/27/21,71.954,534-6_09_27_2021_11_41_24.xls,NA,130
2021,Newark,55&Friends,B97,Maize,534_7,534,7,A,JR,5/20/21,9/27/21,88.674,534-7_09_27_2021_11_42_39.xls,NA,130
2021,Newark,55&Friends,Hi34,Maize,535_4,535,4,A,JR,5/20/21,9/27/21,12.949,535-4_09_27_2021_11_47_00.xls,JUNK,130
2021,Newark,55&Friends,Hi34,Maize,535_5,535,5,A,JR,5/20/21,9/27/21,31.731,535-5_09_27_2021_11_47_49.xls,NA,130
2021,Newark,55&Friends,B73,Maize,536_4,536,4,A,JR,5/20/21,9/27/21,83.697,536-4_09_27_2021_11_51_36.xls,NA,130
2021,Newark,55&Friends,B73,Maize,536_5,536,5,A,JR,5/20/21,9/27/21,72.908,536-5_09_27_2021_11_52_57.xls,NA,130
2021,Newark,55&Friends,Tzi9,Maize,537_2,537,2,A,JR,5/20/21,9/27/21,89.184,537-2_09_27_2021_11_56_13.xls,NA,130
2021,Newark,55&Friends,Tzi9,Maize,537_5,537,5,A,JR,5/20/21,9/27/21,87.433,537-5_09_27_2021_11_57_37.xls,NA,130
2021,Newark,55&Friends,CML277,Maize,538_10,538,10,A,JR,5/20/21,9/27/21,114.996,538-10_09_27_2021_12_32_28.xls,NA,130
2021,Newark,55&Friends,CML277,Maize,538_9,538,9,A,JR,5/20/21,9/27/21,127.332,538-9_09_27_2021_12_31_36.xls,NA,130
2021,Newark,55&Friends,Mo18W,Maize,539_5,539,5,A,JR,5/20/21,9/27/21,127.458,539-5_09_27_2021_12_35_45.xls,NA,130
2021,Newark,55&Friends,Mo18W,Maize,539_6,539,6,A,JR,5/20/21,9/27/21,106.642,539-6_09_27_2021_12_36_58.xls,NA,130
